system_order,system_identifier,salt_type,experimental_conductivity_mS_cm,mean_calculated_conductivity_mS_cm,min_calculated_conductivity_mS_cm,max_calculated_conductivity_mS_cm,num_q_scale_points_available,num_unique_q_scale_available,q_scale_values_available,missing_q_scale_values,q_scale_coverage_status,missing_conductivity_flag
1,"Li | PF6 | 1.0 | [""EC"",""PC""] | [0.15,0.85] | 213.15 | 13615",PF6,0.01,0.071575,0.0556,0.1007,4,4,0.75;0.80;0.85;0.90,0.70,partial,False
39,"Li | ClO4 | 1.0 | [""PC""] | [1.0] | 261.8047361 | 3751",ClO4,1.099966124,1.34678,0.4906,1.8547,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
40,"Li | ClO4 | 0.5 | [""DME""] | [1.0] | 342.1636336 | 3786",ClO4,2.579896064,5.08732,0.0419,16.1788,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
41,"Li | ClO4 | 0.5 | [""DME""] | [1.0] | 273.3744374 | 3800",ClO4,2.784526666,5.30406,0.0821,12.4592,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
42,"Li | ClO4 | 1.0 | [""PC""] | [1.0] | 296.4654522 | 3744",ClO4,3.736059577,4.3537,2.024,6.6423,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
43,"Li | ClO4 | 1.0 | [""PC""] | [1.0] | 321.2048223 | 3739",ClO4,6.309573445,7.574680000000001,3.1563,11.5753,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
44,"Li | ClO4 | 1.0 | [""PC""] | [1.0] | 345.6484223 | 3734",ClO4,9.091189065,11.475359999999998,4.9337,16.8038,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
45,"Li | ClO4 | 1.0 | [""PC""] | [1.0] | 393.6420782 | 3724",ClO4,15.11159636,18.80592,7.9202,24.8907,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
46,"Li | TFSI | 1.0 | [""PC""] | [1.0] | 217.6928575 | 3625",TFSI,0.018873918,0.059840000000000004,0.044,0.0829,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
47,"Li | TFSI | 1.0 | [""PC""] | [1.0] | 271.8869669 | 3614",TFSI,2.109297952,1.3734600000000001,0.7015,2.288,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
48,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 211.8374067 | 3838",TFSI,2.271713669,4.74296,3.1474,5.7613,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
49,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.5,0.5] | 256.1150634 | 193",TFSI,3.379987628,2.09824,0.701,3.4558,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
50,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 241.4678399 | 3832",TFSI,4.904646766,8.18084,4.2876,10.1191,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
51,"Li | TFSI | 1.0 | [""PC""] | [1.0] | 310.8093421 | 3606",TFSI,6.830975986,5.56518,4.0844,6.8139,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
52,"Li | TFSI | 1.0 | [""DMC""] | [1.0] | 298.0 | 129",TFSI,6.993333333,4.6782,2.0188,7.1493,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
53,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 267.3436967 | 3827",TFSI,7.558803207,9.9509,3.6734,12.8529,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
54,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.5,0.5] | 292.1342406 | 224",TFSI,7.696412001,6.4554599999999995,4.2575,7.8057,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
55,"Li | TFSI | 1.0 | [""EC""] | [1.0] | 298.0 | 128",TFSI,7.906666667,5.3702000000000005,3.7296,6.7415,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
56,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.1,0.9] | 298.0 | 119",TFSI,8.373333333,6.09928,2.9458,9.0566,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
57,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.8,0.2] | 298.0 | 127",TFSI,8.666666667,6.28284,4.5835,8.0037,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
58,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.2,0.8] | 298.0 | 120",TFSI,9.066666667,7.464239999999999,4.1132,9.8546,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
59,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 303.2356303 | 3820",TFSI,9.873591112,12.66986,3.8125,17.0179,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
60,"Li | TFSI | 0.5 | [""DME""] | [1.0] | 338.3557034 | 3813",TFSI,10.25769363,14.071800000000001,4.2832,20.4721,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
61,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.5,0.5] | 312.99103 | 234",TFSI,11.83343644,9.2001,5.1968,11.4759,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
62,"Li | TFSI | 1.0 | [""PC""] | [1.0] | 345.6878836 | 3599",TFSI,11.90863732,10.47954,8.4347,11.4077,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
63,"Li | TFSI | 1.0 | [""EC"",""DMC""] | [0.5,0.5] | 334.9025673 | 247",TFSI,15.87380142,12.62108,10.3412,14.2488,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
64,"Li | TFSI | 1.0 | [""PC""] | [1.0] | 375.3490984 | 3593",TFSI,16.88831057,15.56602,12.7515,18.5263,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
65,"Li | FSI | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 253.1626323 | 49",FSI,2.406050072,1.75442,0.6247,3.2792,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
66,"Li | FSI | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 273.0531347 | 37",FSI,5.943977157,3.4696399999999996,1.1238,5.9829,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
67,"Li | FSI | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 297.7574305 | 44",FSI,7.638732831,6.53654,2.5724,11.3546,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
68,"Li | FSI | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 322.7762915 | 41",FSI,10.9825629,9.65358,5.4292,13.8899,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
69,"Li | FSI | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 332.5420421 | 31",FSI,15.58303956,10.05536,4.6843,13.8668,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
70,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 213.15 | 13793",BF4,0.02,0.1501,0.1029,0.246,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
71,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.4457746 | 4375",BF4,0.12987013,0.8326600000000001,0.4014,1.26,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
72,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 283.0889854 | 66",BF4,2.856573625,6.69638,2.9114,9.9003,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
73,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 293.15 | 13814",BF4,4.25,7.07102,4.7411,10.2492,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
74,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 332.6559387 | 70",BF4,10.48660798,12.95884,6.0376,19.2166,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
75,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 353.15 | 13823",BF4,10.79,19.612379999999998,15.7465,24.8514,5,5,0.70;0.75;0.80;0.85;0.90,,complete,False
