system_id,original_row_index,doi,anion_name,salt_conc,temperature,solvents,solvent_fracs,conductivity,q_scale_optimal,min_log_conductivity_error,all_available_q_scale_values,all_available_calculated_conductivities,number_of_qscale_points,tie_flag,coverage_flag,complete_qscale_coverage_flag,min_valid_calculated_conductivity,max_valid_calculated_conductivity,valid_simulation_rows,raw_simulation_rows,has_solvent_dec,frac_solvent_dec,has_solvent_dmc,frac_solvent_dmc,has_solvent_dme,frac_solvent_dme,has_solvent_ec,frac_solvent_ec,has_solvent_emc,frac_solvent_emc,has_solvent_pc,frac_solvent_pc,solvent_count,solvent_set,salt_identity,concentration_numeric,temperature_numeric,experimental_conductivity_numeric,log_experimental_conductivity
row_11917,11917,10.1149/2.0571912jes,PF6,3.0,323.15,"[""EC"",""DMC""]","[0.5,0.5]",7.98,0.8,0.04706796379766631,0.70;0.75;0.80;0.85;0.90,14.0762;9.3869;7.6131;5.6296;2.7414,5,False,True,True,2.7414,14.0762,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,3.0,323.15,7.98,2.0769384114617173
row_4363,4363,10.1149/1.1466857,PF6,1.0,222.7274648,"[""EC"",""EMC""]","[0.3,0.7]",0.551948052,0.8,0.15051112339936273,0.70;0.75;0.80;0.85;0.90,1.1745;0.9197;0.6416;0.3774;0.1922,5,False,True,True,0.1922,1.1745,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,1.0,222.7274648,0.551948052,-0.5943013458291951
row_10874,10874,10.1149/1.1872737,PF6,0.391363023,333.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",12.82483157,0.85,0.021831843851443544,0.70;0.75;0.80;0.85;0.90,10.9930;13.1501;10.7558;13.1079;12.1148,5,False,True,True,10.7558,13.1501,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,0.391363023,333.0,12.82483157,2.551383258027126
row_192,192,10.1016/j.jpowsour.2011.07.071,PF6,1.0,354.0952676,"[""EC"",""DMC""]","[0.5,0.5]",22.55335602,0.9,0.07446148112475237,0.70;0.75;0.80;0.85;0.90,26.8190;26.6786;26.7504;25.2225;20.9350,5,False,True,True,20.935,26.819,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,1.0,354.0952676,22.55335602,3.115883880595859
row_10901,10901,10.1149/1.1872737,PF6,1.738191633,263.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",2.935514918,0.75,0.06612899752748214,0.70;0.75;0.80;0.85;0.90,5.2174;3.1362;2.1578;1.6521;1.0038,5,False,True,True,1.0038,5.2174,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,1.738191633,263.0,2.935514918,1.076882878437312
row_11957,11957,10.1149/2.0571912jes,PF6,1.497,323.15,"[""EC"",""EMC""]","[0.3,0.7]",11.934,0.85,0.003463076561979417,0.70;0.75;0.80;0.85;0.90,19.8159;18.6898;13.9230;11.9754;10.3172,5,False,True,True,10.3172,19.8159,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,1.497,323.15,11.934,2.47939146909989
row_13636,13636,10.1016/0378-7753(91)80004-H,PF6,1.0,293.15,"[""EC"",""PC""]","[0.15,0.85]",5.64,0.8,0.03242942844467467,0.75;0.80;0.85;0.90,6.7708;5.8259;5.2805;3.2112,4,False,True,False,3.2112,6.7708,4,5,0,0.0,0,0.0,0,0.0,1,0.15,0,0.0,1,0.85,2,EC+PC,PF6,1.0,293.15,5.64,1.7298840655099674
row_11886,11886,10.1149/2.0571912jes,PF6,2.0,263.15,"[""EC"",""DMC""]","[0.5,0.5]",1.824,0.75,0.0828930745919243,0.70;0.75;0.80;0.85;0.90,3.6739;1.6789;1.3857;1.1376;0.4956,5,False,True,True,0.4956,3.6739,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,2.0,263.15,1.824,0.6010318916521397
row_10899,10899,10.1149/1.1872737,PF6,0.391363023,263.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",4.234841193,0.75,0.024551560621891788,0.70;0.75;0.80;0.85;0.90,3.7657;4.3401;4.8129;3.8726;2.7801,5,False,True,True,2.7801,4.8129,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,0.391363023,263.0,4.234841193,1.4433458286996252
row_12014,12014,10.1149/2.0641503jes,PF6,1.5,283.15,"[""EC"",""DEC""]","[0.5,0.5]",3.785824515,0.9,0.13027534539780183,0.70;0.75;0.80;0.85;0.90,5.8070;5.6803;5.4405;4.3456;3.3234,5,False,True,True,3.3234,5.807,5,5,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,2,DEC+EC,PF6,1.5,283.15,3.785824515,1.3312637006827779
row_10881,10881,10.1149/1.1872737,PF6,3.330634278,333.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",7.747834456,0.8,0.054327669888053265,0.70;0.75;0.80;0.85;0.90,14.4882;11.9093;8.1804;4.7798;2.5985,5,False,True,True,2.5985,14.4882,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,3.330634278,333.0,7.747834456,2.0474133792865494
row_11916,11916,10.1149/2.0571912jes,PF6,2.005,323.15,"[""EC"",""DMC""]","[0.5,0.5]",13.108,0.75,0.06996889791714533,0.70;0.75;0.80;0.85;0.90,18.0070;14.0580;11.6043;9.6562;10.8718,5,False,True,True,9.6562,18.007,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,2.005,323.15,13.108,2.573222730836568
row_11928,11928,10.1149/2.0571912jes,PF6,1.999,273.15,"[""EC"",""EMC""]","[0.3,0.7]",2.637,0.8,0.14366983369869846,0.70;0.75;0.80;0.85;0.90,3.5878;3.7381;2.2841;1.5927;0.6496,5,False,True,True,0.6496,3.7381,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,1.999,273.15,2.637,0.9696419073711496
row_11887,11887,10.1149/2.0571912jes,PF6,3.0,263.15,"[""EC"",""DMC""]","[0.5,0.5]",0.756,0.75,0.11105853677246402,0.70;0.75;0.80;0.85;0.90,1.5893;0.8448;0.6629;0.3162;0.1485,5,False,True,True,0.1485,1.5893,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,3.0,263.15,0.756,-0.27971390280260405
row_13616,13616,10.1016/0378-7753(91)80004-H,PF6,1.0,213.15,"[""EC"",""PC""]","[0.5,0.5]",0.01,0.75,2.142416340841224,0.70;0.75;0.80;0.85;0.90,0.1638;0.0852;0.0863;0.1198;0.0981,5,False,False,True,0.0852,0.1638,5,5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,2,EC+PC,PF6,1.0,213.15,0.01,-4.605170185988091
row_11913,11913,10.1149/2.0571912jes,PF6,0.501,323.15,"[""EC"",""DMC""]","[0.5,0.5]",14.172,0.85,0.12625179628734928,0.70;0.75;0.80;0.85;0.90,10.8937;12.0960;12.0927;12.4911;11.4456,5,False,False,True,10.8937,12.4911,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,0.501,323.15,14.172,2.6512681870032258
row_11923,11923,10.1149/2.0571912jes,PF6,3.002,263.15,"[""EC"",""EMC""]","[0.3,0.7]",0.35,0.8,0.1064171001329508,0.70;0.75;0.80;0.85;0.90,1.1487;0.4131;0.3893;0.2099;0.1751,5,False,True,True,0.1751,1.1487,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,3.002,263.15,0.35,-1.0498221244986778
row_11918,11918,10.1149/2.0571912jes,PF6,0.111,263.15,"[""EC"",""EMC""]","[0.3,0.7]",1.417,0.75,0.022120059940831993,0.70;0.75;0.80;0.85;0.90,1.5576;1.3860;1.5514;1.7514;1.2852,5,False,True,True,1.2852,1.7514,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,0.111,263.15,1.417,0.34854196070854343
row_4369,4369,10.1149/1.1466857,PF6,1.0,283.0091549,"[""EC"",""EMC""]","[0.3,0.7]",6.493506494,0.8,0.038557269356845225,0.70;0.75;0.80;0.85;0.90,8.9948;7.2371;6.2479;5.7605;4.2728,5,False,True,True,4.2728,8.9948,5,5,0,0.0,0,0.0,0,0.0,1,0.3,1,0.7,0,0.0,2,EC+EMC,PF6,1.0,283.0091549,6.493506494,1.8708026766445078
row_10893,10893,10.1149/1.1872737,PF6,0.955465587,293.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",10.77959577,0.75,0.07262296999596796,0.70;0.75;0.80;0.85;0.90,13.0705;10.0245;8.6804;8.4277;7.6888,5,False,True,True,7.6888,13.0705,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,0.955465587,293.0,10.77959577,2.3776550666330656
row_13640,13640,10.1016/0378-7753(91)80004-H,PF6,1.0,313.15,"[""EC"",""PC""]","[0.5,0.5]",10.34,0.8,0.02928340496376114,0.70;0.75;0.80;0.85;0.90,11.0346;10.7415;10.0416;11.3111;7.8835,5,False,True,True,7.8835,11.3111,5,5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,2,EC+PC,PF6,1.0,313.15,10.34,2.336019869080283
row_12013,12013,10.1149/2.0641503jes,PF6,1.201388889,313.15,"[""EC"",""DEC""]","[0.5,0.5]",10.204806,0.8,0.009630532699510752,0.70;0.75;0.80;0.85;0.90,13.3322;12.6643;10.1070;10.6612;7.9543,5,False,True,True,7.9543,13.3322,5,5,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,2,DEC+EC,PF6,1.201388889,313.15,10.204806,2.3228587857920364
row_10875,10875,10.1149/1.1872737,PF6,0.960863698,333.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",19.30943215,0.7,0.005235593549366868,0.70;0.75;0.80;0.85;0.90,19.2086;18.9767;22.1937;12.8488;13.9915,5,False,True,True,12.8488,22.1937,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,0.960863698,333.0,19.30943215,2.9605936889650444
row_10895,10895,10.1149/1.1872737,PF6,2.237516869,293.0,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",6.207892204,0.75,0.057518243269856884,0.70;0.75;0.80;0.85;0.90,7.7364;5.8609;5.7721;3.8064;1.7668,5,False,True,True,1.7668,7.7364,5,5,0,0.0,1,0.63,0,0.0,1,0.27,0,0.0,1,0.1,3,DMC+EC+PC,PF6,2.237516869,293.0,6.207892204,1.8258214186837691
row_11883,11883,10.1149/2.0571912jes,PF6,0.503,263.15,"[""EC"",""DMC""]","[0.5,0.5]",4.959,0.7,0.03415493087850274,0.70;0.75;0.80;0.85;0.90,5.1313;3.7251;4.1218;3.8028;4.2820,5,False,True,True,3.7251,5.1313,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,0.503,263.15,4.959,1.6012041075069967
row_11905,11905,10.1149/2.0571912jes,PF6,1.505,303.15,"[""EC"",""DMC""]","[0.5,0.5]",10.896,0.8,0.10410697700247162,0.70;0.75;0.80;0.85;0.90,13.8906;13.6121;12.0915;9.3029;8.1040,5,False,True,True,8.104,13.8906,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,PF6,1.505,303.15,10.896,2.388395749407157
row_3744,3744,10.1149/1.1344281,ClO4,1.0,296.4654522,"[""PC""]",[1.0],3.736059577,0.8,0.04782158487483512,0.70;0.75;0.80;0.85;0.90,6.6423;6.1840;3.5616;3.3566;2.0240,5,False,True,True,2.024,6.6423,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,ClO4,1.0,296.4654522,3.736059577,1.3180314669739237
row_3812,3812,10.1149/1.1344281,ClO4,0.5,212.2342837,"[""DME""]",[1.0],0.220060166,0.9,1.5688158462749038,0.70;0.75;0.80;0.85;0.90,7.9347;6.8434;3.6341;1.7046;1.0565,5,False,False,True,1.0565,7.9347,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,ClO4,0.5,212.2342837,0.220060166,-1.5138542882009294
row_3724,3724,10.1149/1.1344281,ClO4,1.0,393.6420782,"[""PC""]",[1.0],15.11159636,0.85,0.009287309057582238,0.70;0.75;0.80;0.85;0.90,24.8907;24.1896;22.0572;14.9719;7.9202,5,False,True,True,7.9202,24.8907,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,ClO4,1.0,393.6420782,15.11159636,2.715462419943075
row_3786,3786,10.1149/1.1344281,ClO4,0.5,342.1636336,"[""DME""]",[1.0],2.579896064,0.8,0.9962043331201383,0.70;0.75;0.80;0.85;0.90,16.1788;8.1652;0.9527;0.0980;0.0419,5,False,True,True,0.0419,16.1788,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,ClO4,0.5,342.1636336,2.579896064,0.9477491128507349
row_3760,3760,10.1149/1.1344281,ClO4,1.0,217.5511705,"[""PC""]",[1.0],0.016360369,0.85,0.9893277479857958,0.70;0.75;0.80;0.85;0.90,0.0779;0.1197;0.0728;0.0440;0.0504,5,False,False,True,0.044,0.1197,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,ClO4,1.0,217.5511705,0.016360369,-4.112893393049672
row_3734,3734,10.1149/1.1344281,ClO4,1.0,345.6484223,"[""PC""]",[1.0],9.091189065,0.85,0.13173414690269514,0.70;0.75;0.80;0.85;0.90,16.8038;13.6825;13.9877;7.9691;4.9337,5,False,True,True,4.9337,16.8038,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,ClO4,1.0,345.6484223,9.091189065,2.2073057098654982
row_3800,3800,10.1149/1.1344281,ClO4,0.5,273.3744374,"[""DME""]",[1.0],2.784526666,0.8,0.09417360333406188,0.70;0.75;0.80;0.85;0.90,12.4592;10.6304;3.0595;0.2891;0.0821,5,False,True,True,0.0821,12.4592,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,ClO4,0.5,273.3744374,2.784526666,1.0240779005863963
row_3751,3751,10.1149/1.1344281,ClO4,1.0,261.8047361,"[""PC""]",[1.0],1.099966124,0.85,0.03609969508990915,0.70;0.75;0.80;0.85;0.90,1.8547;1.5565;1.6917;1.1404;0.4906,5,False,True,True,0.4906,1.8547,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,ClO4,1.0,261.8047361,1.099966124,0.09527938296647079
row_3739,3739,10.1149/1.1344281,ClO4,1.0,321.2048223,"[""PC""]",[1.0],6.309573445,0.85,0.0867132870923728,0.70;0.75;0.80;0.85;0.90,10.2240;11.5753;7.1323;5.7855;3.1563,5,False,True,True,3.1563,11.5753,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,ClO4,1.0,321.2048223,6.309573445,1.842068074426628
row_224,224,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,292.1342406,"[""EC"",""DMC""]","[0.5,0.5]",7.696412001,0.7,0.007775579094465357,0.70;0.75;0.80;0.85;0.90,7.6368;7.8057;7.5838;4.9935;4.2575,5,False,True,True,4.2575,7.8057,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,TFSI,1.0,292.1342406,7.696412001,2.0407542463639605
row_3838,3838,10.1149/1.1344281,TFSI,0.5,211.8374067,"[""DME""]",[1.0],2.271713669,0.9,0.3260422482359717,0.70;0.75;0.80;0.85;0.90,4.5888;5.7613;5.5253;4.6920;3.1474,5,False,False,True,3.1474,5.7613,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,TFSI,0.5,211.8374067,2.271713669,0.8205344669486554
row_3593,3593,10.1149/1.1344281,TFSI,1.0,375.3490984,"[""PC""]",[1.0],16.88831057,0.7,0.06962896574275268,0.70;0.75;0.80;0.85;0.90,15.7524;18.5263;15.5069;15.2930;12.7515,5,False,True,True,12.7515,18.5263,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,TFSI,1.0,375.3490984,16.88831057,2.8266217003579777
row_3625,3625,10.1149/1.1344281,TFSI,1.0,217.6928575,"[""PC""]",[1.0],0.018873918,0.85,0.8464086649295961,0.70;0.75;0.80;0.85;0.90,0.0829;0.0549;0.0633;0.0440;0.0541,5,False,False,True,0.044,0.0829,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,TFSI,1.0,217.6928575,0.018873918,-3.969974309993472
row_129,129,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,298.0,"[""DMC""]",[1.0],6.993333333,0.7,0.022057135562914,0.70;0.75;0.80;0.85;0.90,7.1493;6.6608;4.9500;2.6121;2.0188,5,False,True,True,2.0188,7.1493,5,5,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,DMC,TFSI,1.0,298.0,6.993333333,1.944957314252377
row_128,128,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,298.0,"[""EC""]",[1.0],7.906666667,0.7,0.15942383341158117,0.70;0.75;0.80;0.85;0.90,6.7415;6.3611;5.7461;4.2727;3.7296,5,False,False,True,3.7296,6.7415,5,5,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,EC,TFSI,1.0,298.0,7.906666667,2.0677062855035735
row_3813,3813,10.1149/1.1344281,TFSI,0.5,338.3557034,"[""DME""]",[1.0],10.25769363,0.85,0.014344930906095676,0.70;0.75;0.80;0.85;0.90,18.6004;20.4721;16.5974;10.4059;4.2832,5,False,True,True,4.2832,20.4721,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,TFSI,0.5,338.3557034,10.25769363,2.328028022075365
row_3606,3606,10.1149/1.1344281,TFSI,1.0,310.8093421,"[""PC""]",[1.0],6.830975986,0.75,0.0025029168358916554,0.70;0.75;0.80;0.85;0.90,6.2286;6.8139;5.5970;5.1020;4.0844,5,False,False,True,4.0844,6.8139,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,TFSI,1.0,310.8093421,6.830975986,1.921467560299235
row_247,247,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,334.9025673,"[""EC"",""DMC""]","[0.5,0.5]",15.87380142,0.8,0.10799734818360296,0.70;0.75;0.80;0.85;0.90,13.3562;12.2176;14.2488;12.9416;10.3412,5,False,False,True,10.3412,14.2488,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,TFSI,1.0,334.9025673,15.87380142,2.7646700408260414
row_120,120,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,298.0,"[""EC"",""DMC""]","[0.2,0.8]",9.066666667,0.75,0.035956057343045966,0.70;0.75;0.80;0.85;0.90,9.8546;9.3986;8.3186;5.6362;4.1132,5,False,True,True,4.1132,9.8546,5,5,0,0.0,1,0.8,0,0.0,1,0.2,0,0.0,0,0.0,2,DMC+EC,TFSI,1.0,298.0,9.066666667,2.2046046846706067
row_127,127,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,298.0,"[""EC"",""DMC""]","[0.8,0.2]",8.666666667,0.7,0.0795803146321572,0.70;0.75;0.80;0.85;0.90,8.0037;6.9231;6.1868;5.7171;4.5835,5,False,False,True,4.5835,8.0037,5,5,0,0.0,1,0.2,0,0.0,1,0.8,0,0.0,0,0.0,2,DMC+EC,TFSI,1.0,298.0,8.666666667,2.159484249391834
row_3827,3827,10.1149/1.1344281,TFSI,0.5,267.3436967,"[""DME""]",[1.0],7.558803207,0.85,0.16880657337783544,0.70;0.75;0.80;0.85;0.90,11.6375;12.8529;12.6419;8.9488;3.6734,5,False,True,True,3.6734,12.8529,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,TFSI,0.5,267.3436967,7.558803207,2.022712871707351
row_3614,3614,10.1149/1.1344281,TFSI,1.0,271.8869669,"[""PC""]",[1.0],2.109297952,0.7,0.08132290556516042,0.70;0.75;0.80;0.85;0.90,2.2880;1.6335;1.1592;1.0851;0.7015,5,False,True,True,0.7015,2.288,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,TFSI,1.0,271.8869669,2.109297952,0.746355167952391
row_3599,3599,10.1149/1.1344281,TFSI,1.0,345.6878836,"[""PC""]",[1.0],11.90863732,0.7,0.04297539605288492,0.70;0.75;0.80;0.85;0.90,11.4077;11.3986;10.9953;10.1614;8.4347,5,False,False,True,8.4347,11.4077,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,PC,TFSI,1.0,345.6878836,11.90863732,2.477263962043841
row_193,193,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,256.1150634,"[""EC"",""DMC""]","[0.5,0.5]",3.379987628,0.7,0.022181929763685604,0.70;0.75;0.80;0.85;0.90,3.4558;2.7825;2.0651;1.4868;0.7010,5,False,True,True,0.701,3.4558,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,TFSI,1.0,256.1150634,3.379987628,1.2178720491331987
row_234,234,10.1016/j.jpowsour.2011.07.071,TFSI,1.0,312.99103,"[""EC"",""DMC""]","[0.5,0.5]",11.83343644,0.7,0.0306799367711581,0.70;0.75;0.80;0.85;0.90,11.4759;9.8250;9.6515;9.8513;5.1968,5,False,False,True,5.1968,11.4759,5,5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,DMC+EC,TFSI,1.0,312.99103,11.83343644,2.470929121014737
row_3820,3820,10.1149/1.1344281,TFSI,0.5,303.2356303,"[""DME""]",[1.0],9.873591112,0.85,0.023839430321884958,0.70;0.75;0.80;0.85;0.90,16.6836;17.0179;15.7235;10.1118;3.8125,5,False,True,True,3.8125,17.0179,5,5,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,DME,TFSI,0.5,303.2356303,9.873591112,2.289863628406007
