salt,concentration_molkg,temperature_K,alpha,permittivity,viscosity,coordination_number,diffusivity,activity_coefficient,conductivity_mScm,solvent_EC,solvent_PC,solvent_DMC,solvent_EMC,solvent_DEC,solvent_DME
TFSI,0.6065774007602329,321.8270141932654,0.9396298824588025,42.306648231601145,3.772617057017816,4.424895629446259,0.0853060380444931,1.3297342708113356,178.75421922449877,0.05517855025779987,0.5402930806397174,0.0353415567955994,0.04733073992697812,0.07814821465580231,0.24370785772410297
BF4,0.2957125998823527,301.1574766969376,0.8324653030831963,35.52805136988334,3.3484516858385738,3.615426197716457,0.08993932269371145,1.1309808211275414,58.51093139315906,0.33375654076097455,0.0487136000360729,0.33893535744149017,0.1295073686852223,0.03526746306322027,0.11381967001301986
TFSI,0.2524489033683043,327.63787515476236,0.8705758592357251,36.82054608518573,3.002958237966433,3.549439802407445,0.10910503882885657,1.1161530102073087,90.65413878829337,0.3138707959216781,0.09289693132098738,0.17112842235883388,0.040571424120263405,0.1927861573341069,0.1887462689441304
PF6,0.8140440251113552,291.89943284852546,0.8801681006178844,22.537906422388897,4.614829175204612,4.791238958503998,0.06325248926155176,1.4308201219083738,89.47322685435735,0.055767869577646526,0.22513687547428474,0.0655036123444429,0.3693338447427539,0.10596983211083337,0.1782879657500385
BF4,0.8468377028297192,310.5870901774384,0.9317486535717207,30.673315454792604,4.407023220455,4.972599723513399,0.07047548302805905,1.4836717754398985,123.29415058539513,0.14386203612006254,0.22742745491623031,0.052647274635091036,0.30848280127687694,0.015232207108277175,0.25234822594346185
PF6,2.10851640920455,319.0703339076652,0.8292847232056788,28.747147858670374,6.8797846265005616,7.3714011169545675,0.04637795385027365,2.397149260896019,124.89968055037998,0.04778123118731951,0.3358781337486018,0.24577471619649832,0.07204496993264557,0.11092080285601424,0.1876001460789207
TFSI,2.482463797328425,323.8256041765301,0.9371520048642373,42.72784006536845,7.540960655468321,8.816114811673053,0.042942221683879,3.2002308964223554,197.2722852383111,0.3769045709075936,0.09832413511986107,0.2366184776457813,0.05347444521066413,0.032864349934364004,0.2018140211817359
BF4,0.41727333654148513,315.5670078468945,0.8156151289807162,21.662664611144812,3.4511783772249123,3.850836115508743,0.09143746667207665,1.1855030782477198,56.016570125656244,0.13136354650249443,0.11272151104227235,0.1208093750599593,0.24944852015107685,0.31237664036788987,0.07328040687630709
FSI,0.6517997311435184,290.6884493553054,0.9443512095602944,19.314157968258115,4.270324690124873,4.538819661241141,0.06807174405906945,1.3603798092254358,99.23201605197988,0.02492819124928861,0.18646119794649954,0.10173272513061402,0.020461562544088915,0.048667613694750804,0.6177487094347581
PF6,0.4802147606456216,301.8608061023761,0.9235656089107216,32.270064014331446,3.7394462454255875,4.108774594558975,0.08072339760777099,1.248265414126789,95.23589693220995,0.2756000800878205,0.05004199864374356,0.002057673718101553,0.11087004507038618,0.038125845372004814,0.5233043571079434
BF4,1.1144298457973634,290.15407543151355,0.8721460113378834,41.53663179975981,5.31922064298603,5.429863862320158,0.054548230822895685,1.6257557302860959,121.9766095808855,0.3355369139634011,0.14762197927036977,0.3344234981066644,0.06922874140108885,0.06432628916013856,0.04886257809833739
PF6,0.4435640286267326,280.99935703264305,0.8547785798290759,29.464168545269985,3.9405084016190006,3.9478725761320552,0.07131043215570645,1.2087351898100935,78.12185147956275,0.17926271116632134,0.16236605866716186,0.21726730468869582,0.005349067694166862,0.23376212869439977,0.20199272908925447
PF6,2.1076858142302934,318.41857403453423,0.8081601854916084,36.57289724388997,6.891332990280116,7.258369396465964,0.04620565781448203,2.3435664178697726,128.43649930242447,0.15576648990911174,0.32267020038558636,0.04334332345066146,0.46761511812259726,0.006563692787202085,0.004041175344841283
TFSI,1.6994413588339405,322.44696600988254,0.863474220519075,40.33411188815119,5.982615147409687,6.668559506592535,0.053897327182995135,2.0827974152715893,211.79149347557833,0.3456192397119149,0.11510566002356712,0.29416814474939834,0.1411062067668913,0.07002637113389285,0.033974377614335666
BF4,2.0967276380495847,290.68907641367224,0.7859679832427857,54.42967307097338,7.514766993216173,7.119901982718104,0.03868238052837657,2.2795553375225013,118.78594974482898,0.174803049081717,0.5829891048302625,0.07516326399145236,0.020073945875627112,0.12290758425914057,0.024063051961800426
PF6,0.6016753831524612,276.042770159749,0.8977859540277429,44.7816216661423,4.391783455994045,4.35043926969635,0.06285436723502318,1.3100795413260549,111.5936927892133,0.1250476558735392,0.49524404785938786,0.08306178250473195,0.21053691550110462,0.03734447155337427,0.048765126707861955
FSI,0.7445132035401107,287.2150918224361,0.8928081629356932,21.5029747098283,4.534749381685501,4.661768663835035,0.06333648624164592,1.3942459517723935,101.5316587862956,0.1844125679705236,0.038160902879350624,0.6224884629936852,0.11601185051731987,0.015996542684386824,0.02292967295473409
BF4,2.327136298741543,278.6494490700529,0.9608937378994382,11.4418630311386,8.39839449563805,8.590326741748061,0.03317889499174844,3.0589305100395063,61.188921964544996,0.013536242801654903,0.11707049036587915,0.5120932367766301,0.024308778540247912,0.3165281253762164,0.016463126139371568
PF6,1.3827126014379532,321.8816122149858,0.865699841398379,45.03070597171663,5.348899610032175,5.9925351994109395,0.06017716459125124,1.819400479368959,168.30620032536692,0.36422495338209354,0.15787349117009325,0.1973937245402618,0.12532363426655646,0.02199887521897348,0.13318532142202139
FSI,1.0452771632647944,293.8843696400961,0.8318738911031364,45.222070753946916,5.096325049547352,5.173846952715833,0.05766593904095628,1.5446068169374532,147.9991486781597,0.2538631246587617,0.3225388014974262,0.08283438757927256,0.14945668849516391,0.1511173124629895,0.040189685306386044
PF6,2.1516891241793363,310.19747841192583,0.9510979569867694,29.224490574540305,7.15817033309736,8.116167825194044,0.04333474393277011,2.782176583421437,132.96291115771427,0.09542631031613871,0.27981296592310184,0.09743707205485382,0.22981615904502908,0.15353040440267238,0.14397708825820424
TFSI,0.5038365257935511,308.01964521088945,0.7737739370574837,11.695875928178674,3.7159188734717077,3.9746389304916008,0.08289191871487575,1.2152232273103967,61.67948033523866,0.023563102871164362,0.07380938618154033,0.20744408158125402,0.1629066635193741,0.03769508668730208,0.4945816791593651
TFSI,2.0287641296610976,326.9235425805878,0.8133458384597968,19.668426285177034,6.566419863317135,7.125217155190914,0.04978718226760435,2.2819798719320867,114.69498115325304,0.1723103804197733,0.020108238705918866,0.5042217283441596,0.06419594205029268,0.13040345343763773,0.10876025704221791
PF6,1.4020530836801823,316.5436332303755,0.9498111791280166,43.928788092170585,5.473548789375636,6.329214231525865,0.057831517615189364,1.9461301188554758,202.77589986514775,0.007291498858263723,0.6400782482871525,0.09887964760406677,0.03521644835979117,0.07006071846428746,0.14847343842643812
PF6,1.9809392571262392,311.2601905585898,0.8334094395820595,20.29735430628481,6.776448879799646,7.1273336903192,0.04593264054369914,2.282946054525797,98.89003524650747,0.17569252632366708,0.030062858956149706,0.14216045361178187,0.07684896257233612,0.515404675683405,0.05983052285266032
TFSI,2.353093165764211,297.96053012032894,0.8458299556943525,58.63730117949397,7.889193433361571,7.975791720357566,0.03776818665141647,2.705152652253328,189.69547543547785,0.5589507217696207,0.11056996560355598,0.1054632525726088,0.14229519714186997,0.044131160480761246,0.038589702431583474
PF6,2.3877477180088347,279.75327890137135,0.9626334197976957,57.214662665437494,8.504493491852525,8.746314378502472,0.03289476077198255,3.1558657867483126,146.7375501983814,0.4571990813458343,0.22789973037043373,0.05111368175243633,0.06963753338174303,0.11519785951024959,0.07895211363930299
TFSI,0.8793257582914067,299.1372406625174,0.8605785317669733,19.223153870227673,4.643860347572463,4.891822175038248,0.06441564092660296,1.4598948827439147,108.28920826053155,0.03240525490983344,0.2010535337947989,0.44373987239494195,0.002153519169403672,0.09275982842628673,0.22788799130473525
TFSI,0.4080136720635053,324.13090373710764,0.7572498758011174,22.98460347777071,3.3468805479598456,3.772420756238118,0.09684567438018897,1.1670557815328304,71.41739961311852,0.17152185038089057,0.05614280850250773,0.09104871379667473,0.30087162740954265,0.0037260527604235827,0.37668894714996065
FSI,0.21248861849601108,275.94450126982076,0.9014812944119319,23.352249501258985,3.470057276541564,3.4788862871239683,0.07952159842872712,1.1005139053900261,42.35071802212567,0.06405725101252825,0.2385573942678816,0.023668544216068538,0.42615524572399655,0.2388746257985539,0.008686938980971198
FSI,2.127354502907381,275.2886240741828,0.8004455276797638,17.29703842962394,8.034256776012683,7.257078494104051,0.03426435471867077,2.342961432885962,80.29974266022026,0.14713813600925424,0.008830555813092982,0.16437804792050684,0.20930348588963366,0.23339611725829476,0.2369536571092176
PF6,1.8327808037469988,328.8716727392249,0.9028859014942674,44.26432584440203,6.140452335775748,7.136979870581242,0.05355821603290358,2.2873546476008615,186.09902741987432,0.33410092714750217,0.18128793063410945,0.03899925988397499,0.17090818068944694,0.044559559921434164,0.23014414172353237
PF6,2.4540625129746427,299.13795662013393,0.946020237085352,46.98571501479564,8.07819455242388,8.803982000866366,0.03703029862413711,3.1924747514113676,147.424456436648,0.020013188052746926,0.6736746378663205,0.10387423883979346,0.055987415171371825,0.031443654045053705,0.11500686602471359
TFSI,1.6932362570642103,326.61388135264457,0.7871097474800145,19.153331843345615,5.899584709005623,6.331906906804539,0.0553621818251162,1.947178460406502,117.20899017924147,0.1708775537903649,0.019651244169415483,0.3563917879389213,0.04447524770115688,0.3744386304092009,0.03416553599094066
TFSI,1.6052713581842448,309.173859692841,0.8529527241463926,27.77901816064417,6.02761350890897,6.423051444893578,0.051292913727111734,1.982998888411927,138.54372515431513,0.2312841065869618,0.054151078503275975,0.02272159823759025,0.026004710206657806,0.3401335697226764,0.32570493674283774
BF4,0.7188635968696853,305.6301021879606,0.8914429751079802,40.613786565950925,4.203391401022266,4.60206475872584,0.07271036004727784,1.3776965690859329,117.02554713406094,0.19070554770573625,0.33332194034485585,0.2756818070697438,0.018487797803205853,0.09252922626143631,0.08927368081502174
TFSI,1.0295118692355847,302.22613694258524,0.9341764221205551,6.461347965292439,4.920705809375193,5.404364286332858,0.061419265579089846,1.6174856202845527,75.1720780031245,0.021735568836603537,0.017385378410005738,0.6314262004769297,0.06329089676768972,0.1421409541021056,0.12402100140666572
TFSI,1.3365257869900737,279.6038332871103,0.7680147867682359,18.08665704707232,6.050365553840291,5.566178918263575,0.04621271736376987,1.6706884444280923,85.05185944458903,0.12840306305594212,0.05343985235765206,0.08888702659379355,0.5153648566013825,0.06729139336641865,0.14661380802481103
FSI,2.1024988763975787,321.82323734374984,0.8430653932978871,29.838603878985705,6.81244574240986,7.431360105346226,0.04724048447685792,2.426068439753317,151.97290025022164,0.0715059139018535,0.33268089481837726,0.1360622880999801,0.22295653778746158,0.22799146451425426,0.008802900878073342
PF6,1.822434640613229,295.106976624328,0.9102221586465399,32.10136449785042,6.793099012862907,7.147050981428011,0.043442172131678836,2.291966531161052,126.66529521471892,0.27672572921942695,0.06533945097828535,0.1186303338676628,0.25212374452728964,0.05249523154641533,0.23468550986091988
TFSI,1.2309649104850073,295.3766448029894,0.7700123209115463,21.946685903111913,5.480281214186837,5.369645369208086,0.05389808173316838,1.6062930547915069,99.47748146611569,0.10331822227161902,0.15054159790659627,0.19340593117296692,0.1179278606867606,0.27312848503830645,0.16167790292375078
PF6,0.7355602553705243,289.64738182792814,0.8725493856003966,39.98723578429888,4.474970281182965,4.604531622239055,0.06472610176784446,1.3783764546703474,121.48299492367576,0.2187632517754662,0.2898167920882577,0.042730765275957934,0.18456388885164338,0.255257840471612,0.00886746153706276
TFSI,1.9546769437909166,276.3121834581225,0.8416520962331531,10.201864448341219,7.592767817352935,7.112894868000595,0.03639149650100234,2.276362953833871,68.79890566697098,0.021481632227068108,0.06756263716215698,0.37958556472600213,0.09032910525376801,0.1609757986631048,0.28006526196790005
BF4,2.2919701609041048,306.4660646106079,0.9625685747084305,16.85992867265348,7.541648324818109,8.51544612763929,0.040636483088463196,3.013460919940516,83.37319068692186,0.07188023945323015,0.09936898144712321,0.16153211903295175,0.18623208409113104,0.13060741559012432,0.3503791603854394
TFSI,0.9793679619020914,283.92137155077387,0.7562057829496431,13.942140363379254,5.13051034410192,4.851509291064918,0.05533979126992159,1.4481716912112355,64.88545145282716,0.09910325467683218,0.03112870189462154,0.18164975410756903,0.5590397629870452,0.03453457308504403,0.09454395324888797
BF4,1.6576704780593046,328.9629390099245,0.905089427414511,25.846983344908885,5.790192390931017,6.750850059571587,0.056813818401814785,2.117359962434781,136.23575622542143,0.19199742287767255,0.07217843943359585,0.12297967840275882,0.007279842863793787,0.19891524529652818,0.40664937112565086
FSI,1.8845510568857116,298.08505587306,0.8882759506028188,21.188055260141436,6.860405579572232,7.185003453786756,0.04345006318003236,2.3094298843414243,117.7766644375386,0.08943578704211266,0.16816531374414362,0.38417509184327636,0.04706569980096116,0.3013572082843626,0.009800899285143582
FSI,0.4849004821877083,275.33397673628605,0.9443357818822946,38.716886156333516,4.126346261784088,4.144772189954578,0.06672585364109537,1.2572847532854718,107.99055722599975,0.057572294319866234,0.4898052751267179,0.09256956512309347,0.1704330341080984,0.10368949975106691,0.08593033157115694
FSI,2.0447375100671654,325.70799503153364,0.9556457726543579,52.88932307256247,6.6210460498172115,7.885111894208711,0.04919283034446279,2.6565343007711433,240.6960531428573,0.44068451309955736,0.16882386104456842,0.05221824921511597,0.0691111656453179,0.010861417737071397,0.258300793258369
FSI,2.1905500605280244,315.1475937031611,0.950217898026658,34.85562893704436,7.130795011385309,8.20374968509277,0.04419529564375136,2.8313395447067107,175.46853737895742,0.33249259044421586,0.027500155535345024,0.014398912794899008,0.21410966716810814,0.1146660240534154,0.2968326500040166
FSI,1.1231177823727923,324.05118823887074,0.9179032022139647,28.64765394996971,4.791486621994071,5.577283522258583,0.06763061525652564,1.6744030345213248,161.76038710277092,0.06599041281009067,0.32010463882599527,0.0035682728854934858,0.29917333780738176,0.2833830886223301,0.027780249048708645
PF6,0.832097616736654,323.5337810437965,0.7968984204848728,24.882784203642927,4.210125715458732,4.6577431911666665,0.07684658438009244,1.3931239037160104,103.64194496899566,0.20564785483204676,0.0615987535903102,0.44632888386389047,0.09738750820666779,0.1412857471077564,0.04775125239932851
TFSI,1.102448913720126,325.17202933627664,0.8742291490325873,22.459452605957484,4.73462204884825,5.409482439233615,0.06867961708060276,1.6191421757341915,144.91815650761234,0.0742312060405588,0.1826383276000924,0.11321343877468543,0.024307825432377788,0.19677210904919626,0.4088370931030892
BF4,0.9895726634714879,296.9617609758008,0.989802318211144,22.200688134900464,4.920315229074685,5.4487032908561375,0.06035421454727556,1.631892946970328,109.48261129467059,0.11971852631134035,0.1006208789308774,0.057032000748594554,0.01683714817406631,0.09491868645637574,0.6108727593787455
TFSI,1.9073312836613463,306.6724532673347,0.9133598022523738,25.84458154167201,6.7182385507251805,7.355199310186734,0.045647746943167394,2.389394202453753,141.7626685216861,0.14891145484442564,0.1489154356960205,0.046637963565846575,0.10946326057405975,0.3720395366565486,0.1740323486630989
TFSI,2.0215411778251604,317.6779742344157,0.8595965646460482,22.057563513322297,6.729293529916417,7.344274629372585,0.047208220717689736,2.384179227921445,136.2004823833201,0.09011710115427168,0.17793726183447367,0.08576589965964784,0.5490035113333894,0.05065333411664215,0.04652289190157532
FSI,0.43435656182345317,310.21656121414793,0.9888373570469527,11.33485889576115,3.5441786300969533,4.073769986523762,0.08752847798917567,1.2395569251111604,79.34802523521297,0.04370092202439952,0.0694500665564831,0.45899095484514796,0.3063771739617232,0.06437389859886286,0.05710698401338354
FSI,1.2467710375470533,302.4170046716554,0.828142487257146,16.00848427575166,5.38632034448194,5.581260170185973,0.05614538039525795,1.6757352665042244,94.4589132192279,0.14820440007336835,0.0019611806911444983,0.6929485508862773,0.009959679759409519,0.14181402853625139,0.005112160053549062
FSI,1.15820215605904,273.0946603374636,0.7780175927496744,12.690840673309513,5.77915293664384,5.252754133436342,0.04725513640690385,1.5691762916604266,58.53154713732176,0.07576558822769576,0.037956589671575315,0.526277807284528,0.15030933659186704,0.030630661518157208,0.17906001670617655
PF6,2.1347685242943997,287.83986697466923,0.8306226102419325,12.064195223218428,7.678223026719988,7.432967509779331,0.037487823155565425,2.4268484997668067,55.718422336578406,0.00042239698202381005,0.11611826747764985,0.17041282636264235,0.07264064972862225,0.1958160244359073,0.4445898350131546
FSI,1.8365834956725888,281.57587865877605,0.7618435050013704,18.552905036149475,7.166041679344565,6.497973018927185,0.03929308414021534,2.012936505199636,77.5465707434072,0.08657842210814512,0.10825116040498006,0.42714052579771816,0.059345040287402236,0.006696820058018998,0.3119880313437355
BF4,0.7557694900998972,305.44508687454856,0.8975488456915315,51.30805492722795,4.284729796722403,4.6958500836201,0.07128689587572086,1.4037819913406409,125.47421608255358,0.5315947805154967,0.010513212906781576,0.02466007720741886,0.03781396232461063,0.05756037259832562,0.33785759444736635
BF4,2.313225466076166,298.9040735270235,0.9008561135833304,10.254045969741332,7.777143375470592,8.209708258028407,0.038433658619407535,2.8347157046532137,66.10692702785006,0.02359318631030332,0.08002608726089883,0.007619237766572084,0.4484442715344949,0.3657979457652848,0.07451927136244609
PF6,1.1522600157152436,291.10523115872303,0.769527098270091,27.748269218543697,5.386100117979554,5.216738265865002,0.054047497221036266,1.5579138539003987,90.34198300729723,0.08807588075563091,0.2697795812691592,0.08045696558085388,0.3337519558154755,0.13590818988985556,0.09202742668902497
TFSI,2.2470447513706997,306.8483412376215,0.7815065854366566,5.068214563971128,7.436916975894104,7.390200677417692,0.04126015420532924,2.4061792968224403,50.99993222998486,0.0020653253773720752,0.02827253131504062,0.37350708298365465,0.2793694126767074,0.27156031943434256,0.045225328212882714
BF4,2.484094538440165,306.3244135456474,0.7817274938796283,39.928197431060205,7.9543240156672415,7.854712495237256,0.03851042690017344,2.640431891511409,103.61434042220705,0.37954027056449613,0.06220349142460676,0.04162969874068772,0.5021519383060876,0.002094522824063386,0.012380078140058355
PF6,1.7263284073188092,320.66597508002826,0.754540135978591,40.623154566530296,6.068429649487508,6.2564601780050975,0.05284167298653766,1.918017375508788,135.9502350162251,0.3413464638250093,0.12709934305588247,0.05118106462198756,0.023055431119157508,0.4261094056131083,0.03120829176485485
FSI,1.7585277562795263,314.36886917877973,0.8917344488298466,6.0717078802569,6.250117442728029,6.920349448744776,0.05029807392572213,2.1903687086004187,70.1170549175851,0.008851396896586953,0.0269133430096884,0.01084421618589855,0.3077897358199884,0.47239009325358244,0.17321121483425517
TFSI,0.4163655151056104,323.71041603549764,0.8487518100101391,36.45642839265387,3.367786162285252,3.883477461429227,0.09611964668678372,1.1932676785855005,118.08624105417982,0.21390487259931024,0.221255512063921,0.0026144346587015175,0.15682706041213723,0.13041122194684576,0.2749868983190842
FSI,0.6879390373035932,299.7786506259652,0.9333737261407075,12.792392547449381,4.217404456848727,4.605260556514265,0.07108131403881568,1.3785774184873234,87.94599004078671,0.015018960686641748,0.13324279806747122,0.06548940043186961,0.010075328526263128,0.689827105472781,0.08634640681497338
TFSI,2.279138569019492,322.3376347412986,0.9495243589545832,42.41841503150204,7.160726094189012,8.410243971792248,0.04501465780165481,2.9507187783721056,201.40668190897392,0.18951620289270338,0.36831442725865,0.11575953279139897,0.24628957977114382,0.054885043363882786,0.025235213922220973
BF4,2.2414135035225,295.4939036245547,0.8297831221499166,25.780249575675022,7.70918511439918,7.649717737454708,0.03833010872610032,2.534366102254066,99.44998578409944,0.18888600126454075,0.09543143829668754,0.01546757274059279,0.5442083346439388,0.051093102627831594,0.10491355042640864
TFSI,1.1064460599641728,280.47319550249455,0.7907178751386388,17.16641832570716,5.4938646705858485,5.187216693725974,0.05105207578267227,1.5487425424521433,82.36112372664043,0.09676665750112536,0.09116756742761675,0.5059095982400552,0.24999307302263896,0.03194433940885249,0.02421876439971126
TFSI,0.6648026337845994,283.588669687652,0.8805030753416281,13.92882307338829,4.412057761072323,4.463401908856385,0.0642758288864123,1.340014428941016,73.7371283703131,0.09754668789390401,0.024239197007491765,0.02650735505139558,0.4354958042405726,0.18378522778039114,0.23242572802624503
BF4,0.7806034682640506,289.8021151257489,0.9412008881518086,5.73719840343852,4.57395658808858,4.836761694061266,0.06335917482917233,1.4439065738277443,45.656455845534076,0.0007083651659877755,0.03845755382574315,0.19278538970972944,0.6481260504018722,0.04828927158283968,0.07163336931382766
BF4,0.4230491440226024,321.2104265947221,0.9041890447693273,33.0660145347668,3.4057713093743964,3.956291003560696,0.09431356289560293,1.2107720339265335,90.65767684413696,0.09198760579100751,0.3458745993164713,0.048520670059115194,0.0765726700645587,0.276527053795735,0.16051740097311235
TFSI,1.0538810653030375,296.0767329723124,0.9400037429360087,19.43736780242718,5.076907999003045,5.476630364985609,0.0583183175725172,1.641033248455945,125.42139921940768,0.15362188499596552,0.04415344975470634,0.052142077226744604,0.07727845594929073,0.5661425981185099,0.10666153395478294
PF6,1.1512062420129305,298.6419800968152,0.8113147432558024,29.416262585404347,5.2455231428318445,5.334976491682995,0.05693273520390771,1.5951939033345763,110.29956270563986,0.09415720277681423,0.29186605848279146,0.08977097556169049,0.45875863481686174,0.03317900482529461,0.032268123536547434
PF6,2.362043724857284,323.615363230518,0.9443396783319231,46.40256069281705,7.3020609882533005,8.576429028344162,0.0443183593989577,3.050439887619457,174.20938357569943,0.4101328429337717,0.12137340695523764,0.10031921326788908,0.11546899179921764,0.1967070824613967,0.05599846258248717
FSI,2.3901743464450718,300.475753296422,0.9883013812262973,14.773233986538344,7.903492047707633,8.905531519908317,0.038018100288159766,3.2579765222908894,104.75210290106078,0.06897071113454754,0.0928586386053456,0.45548685823656176,0.26181100232684884,0.11184527100564659,0.009027518691049698
BF4,1.5986971874035605,299.5058055233886,0.8501128113113195,16.010552969886067,6.205079583448645,6.397682401047851,0.0482678427400491,1.9729630128493152,75.55405403741042,0.0737892050770318,0.09858675465141391,0.01898137242136261,0.07824131792585402,0.5884482567921772,0.14195309313216037
TFSI,0.3152453863029477,292.51700957820583,0.9486142576239711,24.007073923963134,3.4920202689776216,3.747615670242882,0.08376727139211242,1.1612803356169454,88.56859478713196,0.004093035006869223,0.3265614980544361,0.2526383085664894,0.10579969294743072,0.2049191717712663,0.10598829365350824
PF6,2.4847475463457096,289.01109399995687,0.7655157766350388,30.10154833231485,8.4364289615614,7.755283619207107,0.03425751527296298,2.588443484554596,89.46464603752324,0.22863389291429195,0.11696780674509681,0.24893154478819426,0.1770674306423872,0.22747307591969915,0.0009262489903306619
FSI,1.8702142952829723,299.2826675188297,0.9149878252823197,8.621911448917865,6.8015802297140295,7.278058277132182,0.04400193152340614,2.352813051414924,72.55373972023092,0.02818341646963652,0.04609053779508485,0.11209345840138438,0.09390127917350635,0.616029686706682,0.1037016214537058
PF6,1.2341551833721651,323.8717983121776,0.9374046547307169,46.63602362381182,5.01825131410479,5.892257033882773,0.06453877616728196,1.7832747242203155,203.463911057041,0.4060912253022688,0.1342800474631405,0.04627808758580184,0.04519224294367633,0.3558048150822147,0.012353581622897708
BF4,1.1272224694738884,305.02367901359094,0.9299456337553865,39.98802855502309,5.08512405336595,5.620639034395517,0.059983527601787684,1.6889850845971195,144.0906479296674,0.05932934206001352,0.4989048817530742,0.023969156252590024,0.0845706848429615,0.11483540915281706,0.2183905259385437
TFSI,0.4109644618357154,311.0469256193652,0.913879434585763,45.7263918864019,3.4859464344004576,3.9389299250431646,0.08922883110017198,1.2065752625212105,142.84746001033324,0.39992316945462253,0.10740131014412928,0.06350737089778195,0.08844422172489294,0.03564672312642862,0.3050772046521448
FSI,1.7360530653503685,280.37367979712167,0.8187881314004284,11.504336485256335,6.964386353404246,6.553649113475535,0.040258203030346364,2.0354762534545023,67.23269736810408,0.015080348629036046,0.11245007341604349,0.054640825111120936,0.2741910260037518,0.4688265568165225,0.0748111700235254
BF4,1.6031391106404997,287.5410950685607,0.9063695392284841,30.07448694499478,6.479254174525521,6.632591142575979,0.044378733620157367,2.067868214424388,112.24153547117456,0.11307200858287601,0.27242192860481057,0.0934280862024465,0.10753667227380091,0.3158661030511739,0.09767520128489202
BF4,1.6035231221964652,298.30474452457065,0.9839843748589314,33.25742122015224,6.240709188491912,6.944604242415826,0.04779981497530043,2.2010199102014414,140.51740097186936,0.18873258582412208,0.19843968800987666,0.16558619643259428,0.014265279386841728,0.06456242150325296,0.3684138288433125
BF4,2.3249113488465647,321.0694044884328,0.9945511076911403,16.69601491731123,7.280315807154158,8.780607893197635,0.044101027069859675,3.177585331503984,93.71627028819645,0.12865344336948903,0.01247771276143369,0.13655656508121125,0.24637328628922556,0.06122650353124767,0.41471248896739266
BF4,0.8654363130353695,287.6950793530342,0.8964903435240137,27.54384007198122,4.801307309502608,4.939638243928085,0.059920155242643276,1.4739231403011694,93.11406069404129,0.13836737161850485,0.1745748255609946,0.0613378998250965,0.1615480469571035,0.06074596340255188,0.4034258926357487
