Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
32.5,12.6883,13.979958,0.907606446314073
33,12.6928,13.982316,0.90777522121514
33.5,12.6973,13.984631,0.90794673095057
34,12.7015,13.986817,0.908105110691017
34.5,12.7054,13.988778,0.908256603972127
35,12.7096,13.990981,0.908413784565929
35.5,12.7138,13.993254,0.908566370624016
36,12.7173,13.994972,0.908704926312107
36.5,12.7208,13.996777,0.908837798873269
37,12.7249,13.998962,0.908988823599921
37.5,12.7279,14.000475,0.909104869656208
38,12.7319,14.002685,0.90924704797687
38.5,12.7349,14.00414,0.909366801531547
39,12.7386,14.006183,0.909498326560491
39.5,12.7419,14.008008,0.909615414268752
40,12.7451,14.009583,0.909741567611256
40.5,12.7483,14.011323,0.909856977817155
41,12.7512,14.012767,0.909970172200822
41.5,12.7541,14.014365,0.910073342602394
42,12.757,14.015897,0.910180775443769
42.5,12.7599,14.017423,0.910288574440537
43,12.7627,14.018889,0.910393113177514
43.5,12.7653,14.020295,0.910487261501987
44,12.7681,14.021747,0.910592667233263
44.5,12.7687,14.021747,0.910635457906921
45,12.7727,14.024038,0.910771918900961
45.5,12.7757,14.025805,0.910871069432378
46,12.7763,14.025805,0.910913847725674
46.5,12.7806,14.028401,0.911051801270865
47,12.7811,14.028401,0.911087443251729
47.5,12.7854,14.030999,0.911225209266995
48,12.7859,14.030999,0.911260844648339
48.5,12.7899,14.033384,0.911391008754553
49,12.7904,14.033384,0.911426638079596
49.5,12.7941,14.035548,0.911549730726581
50,12.7946,14.035548,0.911585354558297
50.5,12.7981,14.037688,0.911695715134857
51,12.7986,14.037688,0.911731333535836
51.5,12.8022,14.039887,0.911844945760603
52,12.8027,14.039887,0.911880558582843
52.5,12.8061,14.041958,0.91198819993622
53,12.8065,14.041958,0.912016685992082
53.5,12.81,14.044102,0.912126670683537
54,12.8104,14.044102,0.912155152390662
54.5,12.8135,14.045899,0.912259158349352
55,12.8139,14.045899,0.912287636412593
55.5,12.8171,14.047936,0.912383142975594
56,12.8175,14.047936,0.912411616909417
56.5,12.82,14.049354,0.912497471413988
57,12.8204,14.049354,0.912525942473939
57.5,12.824,14.051625,0.912634659692384
58,12.8243,14.051625,0.912656009536264
58.5,12.8272,14.053461,0.912743131389485
59,12.8276,14.053461,0.912771594129019
59.5,12.8303,14.055111,0.912856540229387
60,12.8307,14.055111,0.912884999627538
60.5,12.8333,14.05673,0.912964821832674
61,12.8336,14.05673,0.912986163922904
61.5,12.8363,14.058359,0.91307242900825
62,12.8366,14.058359,0.913093768625485
62.5,12.8392,14.059968,0.913174197836012
63,12.8395,14.059968,0.913195535011175
63.5,12.8398,14.059968,0.913216872186338
64,12.8437,14.062517,0.913328673664892
64.5,12.844,14.062517,0.913350006972436
65,12.8443,14.062517,0.91337134027998
65.5,12.8477,14.064702,0.913471184814296
66,12.848,14.064702,0.913492514807637
66.5,12.8482,14.064702,0.913506734803197
67,12.8513,14.066664,0.913599699260607
67.5,12.8516,14.066664,0.913621026278867
68,12.8519,14.066664,0.913642353297129
68.5,12.8553,14.068905,0.913738489242766
69,12.8555,14.068905,0.913752704990189
69.5,12.8558,14.068905,0.913774028611324
70,12.8585,14.070574,0.913857529906029
70.5,12.8588,14.070574,0.913878850997834
71,12.859,14.070574,0.913893065059037
71.5,12.8621,14.072611,0.913981065773793
72,12.8634,14.073383,0.914023302002084
72.5,12.8636,14.073383,0.914037513226209
73,12.8638,14.073383,0.914051724450333
73.5,12.8641,14.073383,0.914073041286519
74,12.8676,14.075673,0.91417298483703
74.5,12.8663,14.07453,0.914154859878092
75,12.8695,14.076675,0.91424288761373
75.5,12.8697,14.076675,0.914257095514388
76,12.8699,14.076675,0.914271303415046
76.5,12.8701,14.076675,0.914285511315705
77,12.8739,14.079218,0.914390273664347
77.5,12.8741,14.079218,0.914404478998763
78,12.8743,14.079218,0.914418684333178
78.5,12.8745,14.079218,0.914432889667594
79,12.8773,14.081037,0.914513611461997
79.5,12.8775,14.081037,0.914527814961355
80,12.8777,14.081037,0.914542018460714
