Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor
25.5,11.333,12.35454,0.917314606614249
26,11.3416,12.360234,0.917587806185546
26.5,11.3564,12.371021,0.917984053215979
27,11.3635,12.375403,0.918232723411108
27.5,11.3717,12.380817,0.918493504911671
28,11.3912,12.395351,0.918989708318869
28.5,11.3887,12.392216,0.919020456066937
29,11.3967,12.397548,0.91927048800295
29.5,11.404,12.402305,0.919506494962025
30,11.4048,12.401992,0.919594207124146
30.5,11.4047,12.401004,0.919659408222108
31,11.4228,12.414474,0.9201195314437
31.5,11.4174,12.408645,0.92011658001337
32,11.4365,12.423714,0.920537932537726
32.5,11.4414,12.426744,0.920707789586717
33,11.481,12.45826,0.921557264016002
33.5,11.4578,12.438361,0.921166381969457
34,11.5119,12.482209,0.922264640817983
34.5,11.5255,12.492549,0.922589937409891
35,11.5365,12.500801,0.922860863075894
35.5,11.5459,12.507699,0.923103442127924
36,11.5542,12.513777,0.923318355441367
36.5,11.5617,12.519251,0.923513714997806
37,11.5692,12.524632,0.923715762666719
37.5,11.5753,12.52901,0.92387985962179
38,11.5815,12.533451,0.924047175833695
38.5,11.5872,12.537422,0.924209139646093
39,11.5929,12.541441,0.924367463037142
39.5,11.5981,12.54513,0.92451014855964
40,11.6031,12.548598,0.924653096704508
40.5,11.6079,12.552003,0.924784673808635
41,11.6124,12.555083,0.924916227156762
41.5,11.6168,12.558153,0.925040489632512
42,11.621,12.561039,0.925162321365295
42.5,11.625,12.563764,0.925280035505283
43,11.629,12.566532,0.925394532079336
43.5,11.6329,12.569183,0.925509637340788
44,11.6365,12.571662,0.925613494858516
44.5,11.6401,12.574104,0.925720035399739
45,11.6435,12.576444,0.925818140644526
45.5,11.6466,12.578566,0.925908406411351
46,11.6501,12.580972,0.926009532490812
46.5,11.6533,12.583071,0.926109373458991
47,11.6563,12.58512,0.926196969119087
47.5,11.6591,12.58698,0.926282555466045
48,11.6622,12.589064,0.926375463656393
48.5,11.6649,12.590965,0.926450037785031
49,11.6677,12.592816,0.92653620921643
49.5,11.6705,12.594753,0.926616028119011
50,11.6731,12.596444,0.926698042717453
50.5,11.6757,12.598178,0.9267768720207
51,11.678,12.599758,0.926843198099519
51.5,11.6806,12.601467,0.926923825614907
52,11.6829,12.603058,0.926989306880917
52.5,11.6853,12.604618,0.927064985230016
53,11.6874,12.606017,0.927128687832168
53.5,11.6896,12.607479,0.927195674884725
54,11.6919,12.609051,0.927262487874781
54.5,11.694,12.610477,0.927324160695904
55,11.6961,12.611816,0.927392216949565
55.5,11.6983,12.613277,0.927459216189417
56,11.7003,12.61464,0.927517551035939
56.5,11.7022,12.615874,0.927577431416959
57,11.7041,12.61717,0.9276327417321
57.5,11.7059,12.61839,0.927685703168154
58,11.7076,12.619501,0.927738743394053
58.5,11.7095,12.620783,0.927795050433876
59,11.7114,12.62202,0.927854654009422
59.5,11.7132,12.62323,0.927908308729224
60,11.7149,12.624366,0.927959471390484
60.5,11.7165,12.625382,0.928011524720599
61,11.7181,12.626461,0.928058939080396
61.5,11.7198,12.627553,0.928113309047287
62,11.7213,12.628541,0.928159476221362
62.5,11.7229,12.629656,0.928204220289135
63,11.7246,12.63076,0.928257682039719
63.5,11.726,12.631673,0.928301421355667
64,11.7275,12.632639,0.928349175496901
64.5,11.729,12.633671,0.928392072264665
65,11.7302,12.634443,0.92843032336289
65.5,11.7319,12.635563,0.928482569395602
66,11.7333,12.636524,0.928522748819217
66.5,11.7344,12.637221,0.928558581036131
67,11.7358,12.638146,0.92860139453999
67.5,11.7373,12.639159,0.92864564802136
68,11.7386,12.640021,0.928685165950278
68.5,11.7401,12.641027,0.9287299204408
69,11.7412,12.641662,0.928770283527593
69.5,11.7424,12.642578,0.928797908148164
70,11.7436,12.643298,0.928839927683426
70.5,11.7449,12.644174,0.928878390949065
71,11.7461,12.644913,0.928919004820357
71.5,11.7472,12.645654,0.928951559168075
72,11.7485,12.646519,0.928990815575416
72.5,11.7495,12.647158,0.929022947289818
73,11.7507,12.647946,0.929059943804314
73.5,11.7517,12.648637,0.929088248797084
74,11.7528,12.649358,0.929122252686658
74.5,11.7539,12.650101,0.929154636789066
75,11.755,12.650802,0.929190101939782
75.5,11.7561,12.651491,0.929226444535273
76,11.7571,12.652168,0.929255760751833
76.5,11.758,12.652786,0.929281503694127
77,11.7592,12.653515,0.929322800818587
77.5,11.7601,12.65409,0.929351695775832
78,11.7611,12.654734,0.929383422836071
78.5,11.7621,12.655438,0.929410740268334
79,11.763,12.656027,0.92943859870084
79.5,11.7641,12.656739,0.9294732237111
80,11.7648,12.657184,0.92949584994577
