simulation_key,conductivity_ms_cm,conductivity_uncertainty_ms_cm,cluster_id,original_row_index,salt_conc,temperature,q_scale,cluster_rank_in_sampling,source_row_number,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,cluster_size_x,cluster_sampling_order,cluster_size_y,mean_weighted_permittivity,mean_weighted_viscosity_mpa_s_25c,job_id,folder_name,collection_status,conductivity_raw_line,folder_path,output_file,doi,representative_doi,cation_name,anion_name,solvents,solvent_fracs,selection_reason,composition_summary,duplicate_identity,cluster_id_str,electrolyte_group,n_collapsed_simulations
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)|q=0.7",14.2081,4.1953,1,11917.0,3.0,323.15,0.7,3.0,404.0,46.05,1.245,138.14999999999998,3.735,7.98,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank03_row11917_q0p70,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q070,parsed,Ionic conductivity = 14.2081 ± 4.1953 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q070/output_LELiB_MDLab.txt,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)|q=0.75",9.5118,1.8352,1,11917.0,3.0,323.15,0.75,3.0,404.0,46.05,1.245,138.14999999999998,3.735,7.98,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank03_row11917_q0p75,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q075,parsed,Ionic conductivity = 9.5118 ± 1.8352 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q075/output_LELiB_MDLab.txt,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)|q=0.8",7.8263,1.2129,1,11917.0,3.0,323.15,0.8,3.0,404.0,46.05,1.245,138.14999999999998,3.735,7.98,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank03_row11917_q0p80,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q080,parsed,Ionic conductivity = 7.8263 ± 1.2129 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q080/output_LELiB_MDLab.txt,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)|q=0.85",5.532,1.4311,1,11917.0,3.0,323.15,0.85,3.0,404.0,46.05,1.245,138.14999999999998,3.735,7.98,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank03_row11917_q0p85,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q085,parsed,Ionic conductivity = 5.5320 ± 1.4311 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q085/output_LELiB_MDLab.txt,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1
"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)|q=0.9",3.4473,1.3368,1,11917.0,3.0,323.15,0.9,3.0,404.0,46.05,1.245,138.14999999999998,3.735,7.98,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank03_row11917_q0p90,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q090,parsed,Ionic conductivity = 3.4473 ± 1.3368 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q090/output_LELiB_MDLab.txt,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)|q=0.7",28.4935,7.0214,1,192.0,1.0,354.0952676,0.7,4.0,143.0,46.05,1.245,46.05,1.245,22.55335602,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank04_row192_q0p70,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q070,parsed,Ionic conductivity = 28.4935 ± 7.0214 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q070/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)|q=0.75",24.5075,6.6435,1,192.0,1.0,354.0952676,0.75,4.0,143.0,46.05,1.245,46.05,1.245,22.55335602,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank04_row192_q0p75,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q075,parsed,Ionic conductivity = 24.5075 ± 6.6435 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q075/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)|q=0.8",24.2014,2.21,1,192.0,1.0,354.0952676,0.8,4.0,143.0,46.05,1.245,46.05,1.245,22.55335602,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank04_row192_q0p80,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q080,parsed,Ionic conductivity = 24.2014 ± 2.2100 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q080/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)|q=0.85",23.4984,4.2319,1,192.0,1.0,354.0952676,0.85,4.0,143.0,46.05,1.245,46.05,1.245,22.55335602,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank04_row192_q0p85,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q085,parsed,Ionic conductivity = 23.4984 ± 4.2319 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q085/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1
"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)|q=0.9",29.0179,4.6208,1,192.0,1.0,354.0952676,0.9,4.0,143.0,46.05,1.245,46.05,1.245,22.55335602,185.0,0.0,185.0,46.084270270270274,1.2465189189189192,cluster01_rank04_row192_q0p90,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q090,parsed,Ionic conductivity = 29.0179 ± 4.6208 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q090/output_LELiB_MDLab.txt,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,"[""EC"",""DMC""]","[0.5,0.5]","maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",1
