job_id,folder_name,collection_status,conductivity_mS_cm,conductivity_uncertainty_mS_cm,conductivity_raw_line,folder_path,output_file,cluster_id,original_row_index,doi,representative_doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,q_scale,cluster_rank_in_sampling,selection_reason,source_row_number,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,composition_summary,duplicate_identity,cluster_size,cluster_sampling_order
cluster01_rank03_row11917_q0p70,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q070,parsed,14.2081,4.1953,Ionic conductivity = 14.2081 ± 4.1953 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q070/output_LELiB_MDLab.txt,1,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,0.7,3,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",404,46.05,1.245,138.14999999999998,3.735,7.98,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",185,0
cluster01_rank03_row11917_q0p75,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q075,parsed,9.5118,1.8352,Ionic conductivity = 9.5118 ± 1.8352 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q075/output_LELiB_MDLab.txt,1,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,0.75,3,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",404,46.05,1.245,138.14999999999998,3.735,7.98,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",185,0
cluster01_rank03_row11917_q0p80,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q080,parsed,7.8263,1.2129,Ionic conductivity = 7.8263 ± 1.2129 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q080/output_LELiB_MDLab.txt,1,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,0.8,3,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",404,46.05,1.245,138.14999999999998,3.735,7.98,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",185,0
cluster01_rank03_row11917_q0p85,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q085,parsed,5.5320,1.4311,Ionic conductivity = 5.5320 ± 1.4311 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q085/output_LELiB_MDLab.txt,1,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,0.85,3,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",404,46.05,1.245,138.14999999999998,3.735,7.98,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",185,0
cluster01_rank03_row11917_q0p90,Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q090,parsed,3.4473,1.3368,Ionic conductivity = 3.4473 ± 1.3368 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_3p0M_EC0p5DMC0p5_T323p15_q090/output_LELiB_MDLab.txt,1,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,0.9,3,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",404,46.05,1.245,138.14999999999998,3.735,7.98,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",185,0
cluster01_rank04_row192_q0p70,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q070,parsed,28.4935,7.0214,Ionic conductivity = 28.4935 ± 7.0214 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q070/output_LELiB_MDLab.txt,1,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,0.7,4,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",143,46.05,1.245,46.05,1.245,22.55335602,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",185,0
cluster01_rank04_row192_q0p75,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q075,parsed,24.5075,6.6435,Ionic conductivity = 24.5075 ± 6.6435 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q075/output_LELiB_MDLab.txt,1,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,0.75,4,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",143,46.05,1.245,46.05,1.245,22.55335602,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",185,0
cluster01_rank04_row192_q0p80,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q080,parsed,24.2014,2.2100,Ionic conductivity = 24.2014 ± 2.2100 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q080/output_LELiB_MDLab.txt,1,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,0.8,4,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",143,46.05,1.245,46.05,1.245,22.55335602,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",185,0
cluster01_rank04_row192_q0p85,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q085,parsed,23.4984,4.2319,Ionic conductivity = 23.4984 ± 4.2319 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q085/output_LELiB_MDLab.txt,1,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,0.85,4,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",143,46.05,1.245,46.05,1.245,22.55335602,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",185,0
cluster01_rank04_row192_q0p90,Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q090,parsed,29.0179,4.6208,Ionic conductivity = 29.0179 ± 4.6208 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_1p0M_EC0p5DMC0p5_T354p0952676_q090/output_LELiB_MDLab.txt,1,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,0.9,4,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",143,46.05,1.245,46.05,1.245,22.55335602,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",185,0
cluster04_rank01_row23_q0p70,Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q070,parsed,3.7865,0.7646,Ionic conductivity = 3.7865 ± 0.7646 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q070/output_LELiB_MDLab.txt,4,23,10.1016/j.electacta.2008.04.023,10.1016/j.electacta.2008.04.023,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,0.7,1,representative_row_index from cluster_summary.csv,0,28.73,1.025,5.80149254087,0.2069798069749999,4.534450652,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",126,1
cluster04_rank01_row23_q0p75,Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q075,parsed,3.8600,0.8675,Ionic conductivity = 3.8600 ± 0.8675 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q075/output_LELiB_MDLab.txt,4,23,10.1016/j.electacta.2008.04.023,10.1016/j.electacta.2008.04.023,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,0.75,1,representative_row_index from cluster_summary.csv,0,28.73,1.025,5.80149254087,0.2069798069749999,4.534450652,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",126,1
cluster04_rank01_row23_q0p80,Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q080,parsed,3.1459,0.7537,Ionic conductivity = 3.1459 ± 0.7537 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q080/output_LELiB_MDLab.txt,4,23,10.1016/j.electacta.2008.04.023,10.1016/j.electacta.2008.04.023,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,0.8,1,representative_row_index from cluster_summary.csv,0,28.73,1.025,5.80149254087,0.2069798069749999,4.534450652,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",126,1
cluster04_rank01_row23_q0p85,Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q085,parsed,4.2734,1.1844,Ionic conductivity = 4.2734 ± 1.1844 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q085/output_LELiB_MDLab.txt,4,23,10.1016/j.electacta.2008.04.023,10.1016/j.electacta.2008.04.023,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,0.85,1,representative_row_index from cluster_summary.csv,0,28.73,1.025,5.80149254087,0.2069798069749999,4.534450652,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",126,1
cluster04_rank01_row23_q0p90,Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q090,parsed,3.3376,1.0435,Ionic conductivity = 3.3376 ± 1.0435 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q090,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_PF6_0p201931519M_EC0p3EMC0p7_T298p15_q090/output_LELiB_MDLab.txt,4,23,10.1016/j.electacta.2008.04.023,10.1016/j.electacta.2008.04.023,Li,PF6,0.201931519,"[""EC"",""EMC""]","[0.3,0.7]",298.15,0.9,1,representative_row_index from cluster_summary.csv,0,28.73,1.025,5.80149254087,0.2069798069749999,4.534450652,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.201931519, '[""EC"",""EMC""]', '[0.3,0.7]', 298.15)",126,1
cluster04_rank02_row120_q0p70,Li_TFSI_1p0M_EC0p2DMC0p8_T298p0_q070,parsed,8.5050,1.7758,Ionic conductivity = 8.5050 ± 1.7758 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p2DMC0p8_T298p0_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p2DMC0p8_T298p0_q070/output_LELiB_MDLab.txt,4,120,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",298.0,0.7,2,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",71,20.28,0.852,20.28,0.852,9.066666667,EC:0.200+DMC:0.800,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.2,0.8]', 298.0)",126,1
cluster04_rank02_row120_q0p75,Li_TFSI_1p0M_EC0p2DMC0p8_T298p0_q075,parsed,7.6935,2.1585,Ionic conductivity = 7.6935 ± 2.1585 mS/cm,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p2DMC0p8_T298p0_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_TFSI_1p0M_EC0p2DMC0p8_T298p0_q075/output_LELiB_MDLab.txt,4,120,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",298.0,0.75,2,"maximin descriptor spread from existing selections using weighted_permittivity, weighted_viscosity_mPa_s_25C, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, conductivity; duplicate simulation inputs excluded",71,20.28,0.852,20.28,0.852,9.066666667,EC:0.200+DMC:0.800,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.2,0.8]', 298.0)",126,1
